"qseqid","sseqid","identity","coverage","evalue","length","mismatch","gapopen","gaps","qlen","qstart","qend","slen","sstart","send","contig_name","orf_num_in_contig","orf_start_pos","orf_end_pos","orf_direction","actual_start","actual_end","Tag","Type","Subtype","HMM.category","Mechanism.group","Mechanism.subgroup","Mechanism.subgroup2","SARG3.0_F","SARG3.0_L","SARG3.0_S"
"k141_61184_length_5785_cov_7.0000_4","AF090987.gene.p01",85.5,100,2.07e-242,394,57,0,0,394,1,394,394,1,394,"k141_61184_length_5785_cov_7.0000",4,2489,3673,-1,2490,4067,"","tetracycline","tetracycline__tet(30)","tet(30)","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_176562_length_3662_cov_6.0000_4","YP_985461",86.1,93.2,1.96e-169,274,38,0,0,294,21,294,274,1,274,"k141_176562_length_3662_cov_6.0000",4,2267,3151,1,2288,3445,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_12986_length_81635_cov_1030.1686_10","NC_011595.7057907.p01",95.5,100,0,1031,46,0,0,1031,1,1031,1031,1,1031,"k141_12986_length_81635_cov_1030.1686",10,17102,20197,1,17103,21228,"multicomponent system","multidrug","multidrug__MexB","MexB","Efflux pump","","","Yes","Yes","Yes"
"k141_5090_length_58203_cov_605.2808_1","WP_000345069.1",98.6,100,1.12999999999871e-312,434,6,0,0,434,1,434,434,1,434,"k141_5090_length_58203_cov_605.2808",1,44,1348,1,45,1782,"","quinolone","quinolone__Acinetobacter baumannii AbaQ","Acinetobacter baumannii AbaQ","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_14747_length_55210_cov_771.4102_11","gi|446988854|ref|WP_001066110.1|",93,100,2.95e-245,400,28,0,0,400,1,400,400,1,400,"k141_14747_length_55210_cov_771.4102",11,10624,11826,1,10625,12226,"","multidrug","multidrug__Other_major_facilitator_superfamily_transporter","Other_major_facilitator_superfamily_transporter","Efflux pump","","","Yes","Yes","Yes"
"k141_3246_length_49599_cov_1497.7909_42","gb|BAD89844.2|ARO:3000753|abeM",97.3,100,6.64e-303,448,12,0,0,448,1,448,448,1,448,"k141_3246_length_49599_cov_1497.7909",42,47656,49002,-1,47657,49450,"","multidrug","multidrug__abeM","abeM","Efflux pump","MATE transporter","","Yes","Yes","Yes"
"k141_16608_length_43283_cov_671.8656_41","gb|WP_032057042.1|ARO:3006018|OXA-820",100,100,3.84e-200,273,0,0,0,273,1,273,273,1,273,"k141_16608_length_43283_cov_671.8656",41,39368,40189,-1,39369,40462,"","beta_lactam","beta_lactam__OXA-417","OXA","Enzymatic inactivation","Class D beta-lactamase","","","",""
"k141_12876_length_39972_cov_711.1054_3","gb|ACQ82816.1|ARO:3004577|Acinetobacter",95.1,98,0,492,24,0,0,502,11,502,492,1,492,"k141_12876_length_39972_cov_711.1054",3,2869,4377,-1,2880,4879,"","multidrug","multidrug__Acinetobacter baumannii AmvA","Acinetobacter baumannii AmvA","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_5043_length_33574_cov_488.3575_26","gi|446988854|ref|WP_001066110.1|",97.3,100,8.18e-259,400,11,0,0,400,1,400,400,1,400,"k141_5043_length_33574_cov_488.3575",26,21651,22853,-1,21652,23253,"","multidrug","multidrug__Other_major_facilitator_superfamily_transporter","Other_major_facilitator_superfamily_transporter","Efflux pump","","","Yes","Yes","Yes"
"k141_25739_length_25025_cov_457.3076_3","gb|ACQ82816.1|ARO:3004577|Acinetobacter",96.5,100,0,492,17,0,0,492,1,492,492,1,492,"k141_25739_length_25025_cov_457.3076",3,2848,4326,-1,2849,4818,"","multidrug","multidrug__Acinetobacter baumannii AmvA","Acinetobacter baumannii AmvA","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_21942_length_23681_cov_724.7601_9","NC_011595.7057907.p01",96.5,100,0,1031,36,0,0,1031,1,1031,1031,1,1031,"k141_21942_length_23681_cov_724.7601",9,7493,10588,1,7494,11619,"multicomponent system","multidrug","multidrug__MexB","MexB","Efflux pump","","","Yes","Yes","Yes"
"k141_450_length_17338_cov_983.6456_10","NC_011595.7058890.p01",92.9,100,4.12e-291,468,33,0,0,468,1,468,468,1,468,"k141_450_length_17338_cov_983.6456",10,7137,8543,-1,7138,9011,"multicomponent system","multidrug","multidrug__OprM","OprM","Efflux pump","","","Yes","Yes","Yes"
"k141_450_length_17338_cov_983.6456_12","gi|487980711|ref|WP_002053440.1|",100,100,1.33e-285,446,0,0,0,446,1,446,446,1,446,"k141_450_length_17338_cov_983.6456",12,10551,11891,-1,10552,12337,"multicomponent system","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__macA","macA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_1666_length_14905_cov_1334.1252_4","gi|488043750|ref|WP_002115147.1|",100,100,1.07e-268,446,0,0,0,446,1,446,446,1,446,"k141_1666_length_14905_cov_1334.1252",4,3009,4349,1,3010,4795,"multicomponent system","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__macA","macA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_1666_length_14905_cov_1334.1252_6","NC_011595.7058890.p01",92.7,100,1.76e-292,468,34,0,0,468,1,468,468,1,468,"k141_1666_length_14905_cov_1334.1252",6,6357,7763,1,6358,8231,"multicomponent system","multidrug","multidrug__OprM","OprM","Efflux pump","","","Yes","Yes","Yes"
"k141_4314_length_13307_cov_24.9161_3","gb|ABO11759.2|ARO:3004573|Acinetobacter",99.5,100,1.72e-309,429,2,0,0,429,1,429,429,1,429,"k141_4314_length_13307_cov_24.9161",3,3974,5263,1,3975,5692,"","fosfomycin","fosfomycin__Acinetobacter baumannii AbaF","Acinetobacter baumannii AbaF","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_25259_length_13211_cov_30.1757_8","NC_011586.7045443.p01",82.2,96.7,2.07e-225,410,73,0,0,424,1,410,416,1,410,"k141_25259_length_13211_cov_30.1757",8,7547,8821,-1,7548,9231,"multicomponent system","multidrug","multidrug__adeI","adeI","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_4769_length_9992_cov_869.1738_12","gb|BAD89844.2|ARO:3000753|abeM",97.1,100,5.69e-304,448,13,0,0,448,1,448,448,1,448,"k141_4769_length_9992_cov_869.1738",12,8049,9395,-1,8050,9843,"","multidrug","multidrug__abeM","abeM","Efflux pump","MATE transporter","","Yes","Yes","Yes"
"k141_4723_length_9169_cov_1169.2212_7","gi|587794836|gb|EXA87379.1|",96.6,98.9,5.86e-298,443,15,0,0,448,6,448,443,1,443,"k141_4723_length_9169_cov_1169.2212",7,4957,6303,-1,4963,6751,"multicomponent system","multidrug","multidrug__tolC","tolC","Efflux pump","","","Yes","Yes","Yes"
"k141_1147_length_9156_cov_1581.2183_7","gi|587794836|gb|EXA87379.1|",93.2,98.9,3.3e-288,443,30,0,0,448,6,448,443,1,443,"k141_1147_length_9156_cov_1581.2183",7,4946,6292,-1,4952,6740,"multicomponent system","multidrug","multidrug__tolC","tolC","Efflux pump","","","Yes","Yes","Yes"
"k141_11042_length_8861_cov_852.8698_5","NC_010410.6003348.p01",96.3,100,5.2e-68,109,4,0,0,109,1,109,109,1,109,"k141_11042_length_8861_cov_852.8698",5,3095,3424,-1,3096,3533,"","multidrug","multidrug__abeS","abeS","Efflux pump","SMR family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_17716_length_8856_cov_613.4764_5","NC_010410.6003348.p01",99.1,100,1.28e-68,109,1,0,0,109,1,109,109,1,109,"k141_17716_length_8856_cov_613.4764",5,3093,3422,-1,3094,3531,"","multidrug","multidrug__abeS","abeS","Efflux pump","SMR family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_21617_length_8764_cov_12.0000_8","YP_001563294",99.3,99.6,8.55e-189,274,2,0,0,275,2,275,275,2,275,"k141_21617_length_8764_cov_12.0000",8,6596,7423,1,6598,7698,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_11530_length_8616_cov_837.0494_2","gi|491209910|ref|WP_005068241.1|",99,100,3.92e-276,406,4,0,0,406,1,406,406,1,406,"k141_11530_length_8616_cov_837.0494",2,1431,2651,1,1432,3057,"multicomponent system","multidrug","multidrug__MexE","MexE","Efflux pump","","","Yes","Yes","Yes"
"k141_11530_length_8616_cov_837.0494_3","gb|CAJ77856.1|ARO:3000777|adeF",98,100,0,1059,21,0,0,1059,1,1059,1059,1,1059,"k141_11530_length_8616_cov_837.0494",3,2658,5837,1,2659,6896,"multicomponent system","multidrug","multidrug__adeF","adeF","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_11530_length_8616_cov_837.0494_4","gb|CAJ77855.1|ARO:3000779|adeH",93.1,97.3,2.92e-305,478,32,1,1,490,3,479,483,4,481,"k141_11530_length_8616_cov_837.0494",4,5850,7322,1,5853,7801,"multicomponent system","multidrug","multidrug__adeH","adeH","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_13678_length_8573_cov_573.7443_2","gi|515963239|ref|WP_017393822.1|",100,100,1.74e-279,406,0,0,0,406,1,406,406,1,406,"k141_13678_length_8573_cov_573.7443",2,1432,2652,1,1433,3058,"multicomponent system","multidrug","multidrug__MexE","MexE","Efflux pump","","","Yes","Yes","Yes"
"k141_13678_length_8573_cov_573.7443_3","gb|CAJ77856.1|ARO:3000777|adeF",99.6,100,0,1059,4,0,0,1059,1,1059,1059,1,1059,"k141_13678_length_8573_cov_573.7443",3,2659,5838,1,2660,6897,"multicomponent system","multidrug","multidrug__adeF","adeF","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_13678_length_8573_cov_573.7443_4","gb|CAJ77855.1|ARO:3000779|adeH",99,100,0,482,5,0,0,482,1,482,483,2,483,"k141_13678_length_8573_cov_573.7443",4,5851,7299,1,5852,7781,"multicomponent system","multidrug","multidrug__adeH","adeH","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_18763_length_7628_cov_951.6225_1","NC_010410.6003262.p01",99.8,100,0,507,1,0,0,507,1,507,507,1,507,"k141_18763_length_7628_cov_951.6225",1,325,1848,-1,326,2355,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_6304_length_6978_cov_1061.4860_1","gi|1016518516|ref|WP_063098254.1|",99.6,100,0,507,2,0,0,507,1,507,507,1,507,"k141_6304_length_6978_cov_1061.4860",1,325,1848,-1,326,2355,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_26125_length_4285_cov_568.1617_3","gb|WP_004707701.1|ARO:3006306|ADC-131",98.7,98.5,9.44e-283,383,5,0,0,389,7,389,383,1,383,"k141_26125_length_4285_cov_568.1617",3,2488,3657,-1,2495,4046,"","beta_lactam","beta_lactam__ADC-68","ADC","Enzymatic inactivation","Class C beta-lactamase","","","",""
"k141_26215_length_4279_cov_932.7622_3","gb|ACN62072.1|ARO:3003874|ADC-43",100,100,1.7e-288,383,0,0,0,383,1,383,383,1,383,"k141_26215_length_4279_cov_932.7622",3,2489,3640,-1,2490,4023,"","beta_lactam","beta_lactam__ADC-43","ADC","Enzymatic inactivation","Class C beta-lactamase","","Yes","Yes","Yes"
"k141_9260_length_3510_cov_488.8955_1","WP_000345069.1",98.8,100,6.79000000021423e-314,434,5,0,0,434,1,434,434,1,434,"k141_9260_length_3510_cov_488.8955",1,44,1348,1,45,1782,"","quinolone","quinolone__Acinetobacter baumannii AbaQ","Acinetobacter baumannii AbaQ","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_186625_length_775918_cov_65.0072_503","gi|401072276|gb|EJP80785.1|",87.2,97.1,5.75e-198,305,39,0,0,314,5,309,307,1,305,"k141_186625_length_775918_cov_65.0072",503,541369,542313,-1,541374,542622,"","beta_lactam","beta_lactam__L1 beta-lactamase","L1 beta-lactamase","Enzymatic inactivation","Class B3 beta-lactamase","","Yes","Yes","Yes"
"k141_16816_length_389413_cov_196.7722_109","B2VGJ3",89,100,6.77e-171,272,30,0,0,272,1,272,273,1,272,"k141_16816_length_389413_cov_196.7722",109,111232,112050,1,111233,112322,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_207754_length_340009_cov_98.7112_96","CAC14596",97,99.8,2.2e-302,460,14,0,0,461,1,460,466,6,465,"k141_207754_length_340009_cov_98.7112",96,103714,105099,-1,103715,105559,"multicomponent system","multidrug","multidrug__smeF","smeF","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_207754_length_340009_cov_98.7112_97","CAG34257",99.4,100,0,1040,6,0,0,1040,1,1040,1040,1,1040,"k141_207754_length_340009_cov_98.7112",97,105197,108319,-1,105198,109359,"multicomponent system","multidrug","multidrug__smeE","smeE","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_207754_length_340009_cov_98.7112_98","CAG34264",96.2,100,7.78e-254,394,15,0,0,394,1,394,394,1,394,"k141_207754_length_340009_cov_98.7112",98,108332,109516,-1,108333,109910,"multicomponent system","multidrug","multidrug__smeD","smeD","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_183271_length_335211_cov_109.0269_139","gi|475005571|emb|CCP13702.1|",94.5,100,1.4e-295,471,26,0,0,471,1,471,471,1,471,"k141_183271_length_335211_cov_109.0269",139,146747,148162,-1,146748,148633,"multicomponent system","multidrug","multidrug__OprM","OprM","Efflux pump","","","Yes","Yes","Yes"
"k141_183271_length_335211_cov_109.0269_141","gi|491557220|ref|WP_005414807.1|",95.7,100,3.32e-257,398,17,0,0,398,1,398,398,1,398,"k141_183271_length_335211_cov_109.0269",141,151321,152517,-1,151322,152915,"multicomponent system","multidrug","multidrug__MexE","MexE","Efflux pump","","","Yes","Yes","Yes"
"k141_71450_length_305763_cov_167.0236_103","gb|AAP43110.2|ARO:3003923|oqxB",90.2,99.1,0,1041,102,0,0,1050,1,1041,1050,1,1041,"k141_71450_length_305763_cov_167.0236",103,105601,108753,-1,105602,109794,"multicomponent system","multidrug","multidrug__oqxB","oqxB","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_57470_length_212778_cov_42.2407_195","gi|446988854|ref|WP_001066110.1|",97.3,100,8.18e-259,400,11,0,0,400,1,400,400,1,400,"k141_57470_length_212778_cov_42.2407",195,197359,198561,1,197360,198961,"","multidrug","multidrug__Other_major_facilitator_superfamily_transporter","Other_major_facilitator_superfamily_transporter","Efflux pump","","","Yes","Yes","Yes"
"k141_285404_length_203156_cov_69.0000_102","HQ424460.1.gene1.p01",86.1,100,3.06e-162,267,37,0,0,267,1,267,267,1,267,"k141_285404_length_203156_cov_69.0000",102,115727,116530,1,115728,116797,"","aminoglycoside","aminoglycoside__APH(3')-IIc","APH(3')-IIc","Enzymatic inactivation","Phosphotransferases","APH(3')","Yes","Yes","Yes"
"k141_188530_length_177568_cov_47.5346_12","NC_010410.6003348.p01",99.1,100,1.28e-68,109,1,0,0,109,1,109,109,1,109,"k141_188530_length_177568_cov_47.5346",12,10904,11233,1,10905,11342,"","multidrug","multidrug__abeS","abeS","Efflux pump","SMR family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_188530_length_177568_cov_47.5346_18","gi|515963239|ref|WP_017393822.1|",100,100,1.74e-279,406,0,0,0,406,1,406,406,1,406,"k141_188530_length_177568_cov_47.5346",18,15772,16992,1,15773,17398,"multicomponent system","multidrug","multidrug__MexE","MexE","Efflux pump","","","Yes","Yes","Yes"
"k141_188530_length_177568_cov_47.5346_19","gb|CAJ77856.1|ARO:3000777|adeF",99.6,100,0,1059,4,0,0,1059,1,1059,1059,1,1059,"k141_188530_length_177568_cov_47.5346",19,16999,20178,1,17000,21237,"multicomponent system","multidrug","multidrug__adeF","adeF","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_188530_length_177568_cov_47.5346_20","gb|CAJ77855.1|ARO:3000779|adeH",99,100,0,482,5,0,0,482,1,482,483,2,483,"k141_188530_length_177568_cov_47.5346",20,20191,21639,1,20192,22121,"multicomponent system","multidrug","multidrug__adeH","adeH","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_188530_length_177568_cov_47.5346_142","gb|WP_004707701.1|ARO:3006306|ADC-131",98.7,98.5,9.44e-283,383,5,0,0,389,7,389,383,1,383,"k141_188530_length_177568_cov_47.5346",142,132547,133716,1,132554,134105,"","beta_lactam","beta_lactam__ADC-68","ADC","Enzymatic inactivation","Class C beta-lactamase","","","",""
"k141_178561_length_144344_cov_45.2004_129","NC_010410.6003262.p01",99.8,100,0,507,1,0,0,507,1,507,507,1,507,"k141_178561_length_144344_cov_45.2004",129,137691,139214,-1,137692,139721,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_160015_length_106115_cov_51.9442_95","gb|BAD89844.2|ARO:3000753|abeM",97.1,100,5.69e-304,448,13,0,0,448,1,448,448,1,448,"k141_160015_length_106115_cov_51.9442",95,96721,98067,1,96722,98515,"","multidrug","multidrug__abeM","abeM","Efflux pump","MATE transporter","","Yes","Yes","Yes"
"k141_296556_length_99120_cov_48.8880_68","NC_011586.7045443.p01",98.1,100,1.35e-272,416,8,0,0,416,1,416,416,1,416,"k141_296556_length_99120_cov_48.8880",68,77603,78853,-1,77604,79269,"multicomponent system","multidrug","multidrug__adeI","adeI","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_120376_length_71354_cov_50.2039_44","gi|487980711|ref|WP_002053440.1|",100,100,1.33e-285,446,0,0,0,446,1,446,446,1,446,"k141_120376_length_71354_cov_50.2039",44,44387,45727,1,44388,46173,"multicomponent system","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__macA","macA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_120376_length_71354_cov_50.2039_46","NC_011595.7058890.p01",92.9,100,4.12e-291,468,33,0,0,468,1,468,468,1,468,"k141_120376_length_71354_cov_50.2039",46,47735,49141,1,47736,49609,"multicomponent system","multidrug","multidrug__OprM","OprM","Efflux pump","","","Yes","Yes","Yes"
"k141_219241_length_56487_cov_180.0939_7","gi|485663835|ref|WP_001305258.1|",87.6,99.6,0,509,63,0,0,511,3,511,512,4,512,"k141_219241_length_56487_cov_180.0939",7,8686,10221,-1,8689,10732,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_148691_length_51665_cov_51.8619_37","NC_011595.7057907.p01",96.5,100,0,1031,36,0,0,1031,1,1031,1031,1,1031,"k141_148691_length_51665_cov_51.8619",37,35476,38571,1,35477,39602,"multicomponent system","multidrug","multidrug__MexB","MexB","Efflux pump","","","Yes","Yes","Yes"
"k141_73131_length_50783_cov_186.7516_17","gb|AAC74000.1|ARO:3003950|msbA",88.5,100,0,582,67,0,0,582,1,582,582,1,582,"k141_73131_length_50783_cov_186.7516",17,18897,20645,-1,18898,21227,"","multidrug","multidrug__msbA","msbA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_3963_length_44745_cov_41.4762_22","gb|ACQ82816.1|ARO:3004577|Acinetobacter",96.5,100,0,492,17,0,0,492,1,492,492,1,492,"k141_3963_length_44745_cov_41.4762",22,22568,24046,-1,22569,24538,"","multidrug","multidrug__Acinetobacter baumannii AmvA","Acinetobacter baumannii AmvA","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_186607_length_40357_cov_138.7963_10","gi|555211913|gb|ESN54240.1|",98.5,99.1,1.65000139347726e-318,453,7,0,0,457,5,457,453,1,453,"k141_186607_length_40357_cov_138.7963",10,8605,9978,1,8610,10435,"","multidrug","multidrug__mdtK","mdtK","Efflux pump","MATE transporter","","Yes","Yes","Yes"
"k141_70044_length_31364_cov_52.4074_13","gi|587794836|gb|EXA87379.1|",96.6,98.9,5.86e-298,443,15,0,0,448,6,448,443,1,443,"k141_70044_length_31364_cov_52.4074",13,12378,13724,1,12384,14172,"multicomponent system","multidrug","multidrug__tolC","tolC","Efflux pump","","","Yes","Yes","Yes"
"k141_62082_length_26091_cov_24.0617_4","gb|AAC75089.1|ARO:3003577|ugd",84.8,100,4.84e-238,388,59,0,0,388,1,388,388,1,388,"k141_62082_length_26091_cov_24.0617",4,2933,4099,-1,2934,4487,"","polymyxin","polymyxin__ugd","ugd","Antibiotic target alteration","","","Yes","Yes","Yes"
"k141_240603_length_25862_cov_22.0520_4","YP_001669149",90.9,100,1.57e-180,276,25,0,0,276,1,276,276,1,276,"k141_240603_length_25862_cov_22.0520",4,1950,2780,1,1951,3056,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_171021_length_20344_cov_251.9643_9","YP_001266290",92.5,99.9,0,1013,76,0,0,1014,1,1013,1014,1,1013,"k141_171021_length_20344_cov_251.9643",9,10286,13330,1,10287,14343,"multicomponent system","multidrug","multidrug__mexW","mexW","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_105679_length_15290_cov_48.3318_10","gi|763321415|ref|WP_044179865.1|",80.6,94.3,4.4e-253,464,88,1,2,490,1,462,481,1,464,"k141_105679_length_15290_cov_48.3318",10,8820,10292,-1,8821,10754,"multicomponent system","multidrug","multidrug__tolC","tolC","Efflux pump","","","Yes","Yes","Yes"
"k141_233183_length_14698_cov_35.5261_8","gi|896190680|ref|WP_049199932.1|",81.7,100,2.51999999999791e-312,563,102,1,1,562,1,562,563,1,563,"k141_233183_length_14698_cov_35.5261",8,7526,9214,1,7527,9776,"two-component system","polymyxin","polymyxin__rosB","rosB","Efflux pump","","","Yes","Yes","Yes"
"k141_94244_length_13462_cov_36.1265_4","gi|1001786599|ref|WP_061324791.1|",81,99.3,1.31e-306,554,105,0,0,558,1,554,563,1,554,"k141_94244_length_13462_cov_36.1265",4,3748,5424,1,3749,5978,"two-component system","polymyxin","polymyxin__rosB","rosB","Efflux pump","","","Yes","Yes","Yes"
"k141_70585_length_11342_cov_34.8410_6","gb|AAP43110.2|ARO:3003923|oqxB",90.4,99.1,0,1042,100,0,0,1051,1,1042,1050,1,1042,"k141_70585_length_11342_cov_34.8410",6,3538,6693,1,3539,7735,"multicomponent system","multidrug","multidrug__oqxB","oqxB","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_111359_length_11181_cov_47.8918_3","gb|AML99881.1|ARO:3001327|mdtK",84.5,99.4,1.03e-296,470,73,0,0,473,1,470,474,1,470,"k141_111359_length_11181_cov_47.8918",3,2299,3720,-1,2300,4190,"","multidrug","multidrug__mdtK","mdtK","Efflux pump","MATE transporter","","Yes","Yes","Yes"
"k141_90292_length_10969_cov_46.3335_3","WP_000345069.1",98.8,100,6.79000000021423e-314,434,5,0,0,434,1,434,434,1,434,"k141_90292_length_10969_cov_46.3335",3,2149,3453,-1,2150,3887,"","quinolone","quinolone__Acinetobacter baumannii AbaQ","Acinetobacter baumannii AbaQ","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_50319_length_10758_cov_54.8433_5","gb|AQV34023.1|ARO:3004637|qnrE2",93.5,100,1.78e-86,214,14,0,0,214,1,214,214,1,214,"k141_50319_length_10758_cov_54.8433",5,4354,4998,-1,4355,5212,"","quinolone","quinolone__QnrE2","QnrE family","Antibiotic target protection","","","Yes","Yes","Yes"
"k141_199848_length_9593_cov_8.0000_9","ZP_03552050",89.8,99.6,9.04e-177,274,27,1,1,275,2,275,274,2,274,"k141_199848_length_9593_cov_8.0000",9,8344,9171,1,8346,9446,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_158081_length_9353_cov_27.3977_6","gb|AAP43110.2|ARO:3003923|oqxB",96.4,100,0,1051,37,1,1,1051,1,1051,1050,1,1050,"k141_158081_length_9353_cov_27.3977",6,2952,6107,-1,2953,7158,"multicomponent system","multidrug","multidrug__oqxB","oqxB","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_158081_length_9353_cov_27.3977_7","gb|AAP43109.1|ARO:3003922|oqxA",92.6,100,5.9e-252,391,29,0,0,391,1,391,391,1,391,"k141_158081_length_9353_cov_27.3977",7,6132,7307,-1,6133,7698,"multicomponent system","multidrug","multidrug__oqxA","oqxA","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_41924_length_8274_cov_264.8909_4","gi|740796309|ref|WP_038581593.1|",87.5,100,0,1050,129,2,2,1050,1,1050,1048,1,1048,"k141_41924_length_8274_cov_264.8909",4,3249,6401,1,3250,7451,"multicomponent system","multidrug","multidrug__MexB","MexB","Efflux pump","","","Yes","Yes","Yes"
"k141_109256_length_7435_cov_63.4524_4","B2VGJ3",88.6,100,3.51e-173,272,31,0,0,272,1,272,273,1,272,"k141_109256_length_7435_cov_63.4524",4,3535,4353,-1,3536,4625,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_48613_length_6236_cov_36.1465_2","gi|779956086|ref|WP_045403603.1|",99.8,100,0,646,1,0,0,646,1,646,646,1,646,"k141_48613_length_6236_cov_36.1465",2,657,2597,1,658,3243,"multicomponent system","macrolide-lincosamide-streptogramin","macrolide-lincosamide-streptogramin__macB","macB","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_3069_length_6043_cov_37.2094_4","gi|754931714|ref|WP_042288532.1|",88,99.6,0,509,61,0,0,511,3,511,512,4,512,"k141_3069_length_6043_cov_37.2094",4,2853,4388,1,2856,4899,"multicomponent system","multidrug","multidrug__emrB","emrB","Efflux pump","MFS family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_2668_length_5499_cov_206.6290_6","YP_001749617",92.8,100,8.48e-185,276,20,0,0,276,1,276,276,1,276,"k141_2668_length_5499_cov_206.6290",6,2855,3685,-1,2856,3961,"","bacitracin","bacitracin__bacA","bacA","Antibiotic target alteration","undecaprenyl pyrophosphate","","Yes","Yes","Yes"
"k141_33279_length_5461_cov_30.6850_5","CP001918.1.gene2898.p01",96.8,100,2.13e-282,410,13,0,0,410,1,410,410,1,410,"k141_33279_length_5461_cov_30.6850",5,2603,3835,1,2604,4245,"","multidrug","multidrug__Escherichia coli mdfA","Escherichia coli mdfA","Efflux pump","","","Yes","Yes","Yes"
"k141_229801_length_5238_cov_40.6433_2","BAC77251",81.8,99.8,0,1046,189,1,1,1048,1,1046,1051,1,1045,"k141_229801_length_5238_cov_40.6433",2,1080,4226,1,1081,5272,"multicomponent system","multidrug","multidrug__sdeY","sdeY","Efflux pump","RND family antibiotic efflux pump","","Yes","Yes","Yes"
"k141_233098_length_4837_cov_28.3054_2","gb|AAC74000.1|ARO:3003950|msbA",94.7,100,0,582,31,0,0,582,1,582,582,1,582,"k141_233098_length_4837_cov_28.3054",2,808,2556,1,809,3138,"","multidrug","multidrug__msbA","msbA","Efflux pump","ABC family antibiotic efflux pump","","Yes","Yes","Yes"
